~product~product_code~product_category~product_subcategory
97~Mayonesa Hellmann's~17052~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
98~Salsa ligera Ligeresa~67836~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
99~Salsa ligera Ligeresa~17010~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
100~Salsa ligera Ligeresa~17039~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
101~Mayonesa Ybarra~17038~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
102~Salsa fina Kraft~35361~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
103~Mayonesa Musa~17166~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
104~Salsa ligera Hacendado 60% menos de materia grasa~15793~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
105~Salsa ligera Hacendado 60% menos de materia grasa~15794~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
106~Mayonesa en sobres individuales Hellmann's~35209~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
107~Ketchup Hacendado~23579~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
108~Ketchup Hacendado en sobres individuales~67586~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
109~Ketchup Heinz~17438~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
110~Ketchup zero azúcares añadidos Hacendado~35343~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
111~Mostaza dulce Hacendado~35207~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
112~Mostaza a la antigua Hacendado~17229~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
113~Mostaza de Dijon Hacendado~17228~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
114~Mostaza clásica Hacendado~23410~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
115~Allioli Chovi~17150~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
116~Allioli Hacendado~17172~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
117~Allioli en sobres individuales Hacendado~17173~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
118~Mayonesa Hacendado~13406~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
119~Tomate frito Hacendado~17151~Aceite, especias y salsas >~Otras salsas
120~Tomate frito Hacendado~17108~Aceite, especias y salsas >~Otras salsas
121~Tomate frito receta artesana Hacendado con aceite de oliva~17163~Aceite, especias y salsas >~Otras salsas
122~Tomate frito receta artesana Hacendado con aceite de oliva~17131~Aceite, especias y salsas >~Otras salsas
