~product~units~price~order_number
0~Salsa de tomate, albahaca y orégano Hacendado~1~1.2~13945376
1~Tomate pera~2~0.6~13945376
2~Atún en aceite de girasol Hacendado~2~13.6~13945376
3~Café molido natural Hacendado~1~3.2~13945376
4~Hummus de garbanzos Hacendado con pimiento del piquillo asado~1~1.45~13945376
5~Chili con carne Hacendado~1~2.6~13945376
6~Acondicionador Repara & Protege Pantene~1~3.8~13945376
7~Palitos de zanahoria~1~1.78~13945376
8~Fajitas pollo y verduras~2~7.98~13945376
9~Detergente ropa All in 1 Ariel Pods en cápsulas~1~8.8~13945376
10~Champú Anticaída Men Deliplus~1~1.95~13945376
11~Arándanos~1~2.78~13945376
12~Refresco Coca-Cola Zero Zero~1~9.12~13945376
13~Barquillos con crema de avellanas Hacendado~1~1.5~13945376
14~Pudding +Proteínas caramelo Hacendado 12 g proteínas~1~1.95~13945376
15~Espárrago verde grueso~1~3.26~13945376
16~Banana~3~0.75~13945376
17~Huevos grandes L~1~4.05~13945376
18~Aguacates~1~2.41~13945376
19~Chili con carne Hacendado~1~2.6~13879881
20~Fajitas pollo y verduras~2~7.98~13879881
21~Maxi tortillas de trigo Hacendado~1~1.6~13879881
22~Desodorante invisible Black & White Nivea Men~1~2.75~13879881
23~Ambientador spray Ropa Limpia Bosque Verde~1~1.3~13879881
24~Hierbas provenzales Hacendado~1~1.1~13879881
25~Refresco Coca-Cola Zero Zero~1~9.12~13879881
26~Aceite de oliva virgen extra Hacendado~1~2.34~13879881
27~Edulcorante en sobres stevia Hacendado~1~2.0~13879881
28~Batata~2~1.91~13879881
29~Patatas~1~4.23~13879881
30~Mantequilla con sal Hacendado~1~2.1~13879881
31~Salsa de tomate, albahaca y orégano Hacendado~1~1.2~13879881
32~Arroz largo Hacendado~1~1.3~13879881
33~Pan de molde 100% integral Hacendado~1~0.95~13879881
34~Bebida de almendras zero Hacendado~1~1.45~13879881
35~Dentífrico Protección Caries Colgate~1~1.85~13879881
36~Judía verde redonda~1~2.2~13879881
37~Barquillos con crema de avellanas Hacendado~1~1.5~13879881
38~Preparado de carne picada vacuno~1~7.45~13879881
39~Pudding +Proteínas caramelo Hacendado 12 g proteínas~1~1.95~13879881
40~Espárrago verde grueso~1~3.26~13879881
41~Banana~5~1.42~13879881
42~Ensalada mezcla brotes tiernos maxi~1~1.68~13879881
