~product~product_code~category~subcategory~min~max~var
0~Acondicionador Repara & Protege Pantene~35615~Cuidado del cabello~Acondicionador y mascarilla~3.0~3.8~26.67
1~Preparado de carne picada vacuno~3454~Carne~Hamburguesas y picadas~6.18~7.45~20.55
2~Café molido natural Hacendado~11178~Cacao, café e infusiones~Café molido y en grano~2.7~3.2~18.52
3~Café molido natural Hacendado~11172~Cacao, café e infusiones~Café molido y en grano~2.7~3.2~18.52
4~Muesli Crunchy Hacendado sin azúcares añadidos~9451~Cereales y galletas~Cereales~1.65~1.95~18.18
5~Preparado de carne picada vacuno y cerdo~3453~Carne~Hamburguesas y picadas~5.74~6.7~16.72
6~Pudding +Proteínas caramelo Hacendado 12 g proteínas~60956~Postres y yogures~Gelatina y otros postres~1.7~1.95~14.71
7~Champiñón laminado limpio~69519~Fruta y verdura~Verdura~1.5~1.72~14.67
8~Muesli Crunchy Hacendado con frutos secos~9357~Cereales y galletas~Cereales~1.75~2.0~14.29
9~Aceite de oliva virgen extra Hacendado~4718~Aceite, especias y salsas~Aceite, vinagre y sal~2.15~2.45~13.95
10~Refresco Coca-Cola Zero Zero~26997~Agua y refrescos~Refresco de cola~8.64~9.84~13.89
11~Helado almendrado Hacendado~64000~Congelados~Helados~2.2~2.5~13.64
12~Espárrago verde grueso~69643~Fruta y verdura~Verdura~2.99~3.39~13.38
13~Queso de oveja Entrepinares lonchas~50151~Charcutería y quesos~Queso lonchas, rallado y en porciones~2.23~2.52~13.0
14~Tacos de vacuno añojo para guisar~2807~Carne~Vacuno~5.47~6.16~12.61
15~Salsa césar Hacendado~17366~Aceite, especias y salsas~Otras salsas~1.25~1.4~12.0
16~Palitos de zanahoria~69877~Fruta y verdura~Verdura~1.6~1.78~11.25
17~Leche desnatada sin lactosa Hacendado~10731~Huevos, leche y mantequilla~Leche y bebidas vegetales~0.91~1.01~10.99
18~Pimientos tricolor rojo, amarillo y verde~69491~Fruta y verdura~Verdura~1.64~1.79~9.15
19~Refresco Coca-Cola Zero azúcar~27426~Agua y refrescos~Refresco de cola~8.64~9.36~8.33
20~Filetes pechuga de pollo corte fino~3400~Carne~Aves y pollo~4.19~4.51~7.64
21~Huevos grandes L~31003~Huevos, leche y mantequilla~Huevos~3.95~4.25~7.59
22~Judía verde redonda~69878~Fruta y verdura~Verdura~2.15~2.29~6.51
23~Remolacha cocida y pelada~69523~Fruta y verdura~Verdura~0.8~0.85~6.25
24~Arroz de secreto ibérico con setas Hacendado~22767~Pizzas y platos preparados~Platos preparados calientes~2.85~3.0~5.26
25~Ensalada mezcla brotes tiernos maxi~69810~Fruta y verdura~Lechuga y ensalada preparada~1.68~1.75~4.17
26~Espárrago verde troceado Hacendado ultracongelado~61238~Congelados~Verdura~2.4~2.5~4.17
27~Cebolla troceada Hacendado ultracongelada~13568~Congelados~Verdura~0.96~1.0~4.17
28~Salteado de setas Hacendado ultracongeladas~61025~Congelados~Verdura~1.73~1.8~4.05
29~Patatas~69166~Fruta y verdura~Verdura~4.23~4.4~4.02
30~Arándanos~5501~Fruta y verdura~Fruta~2.78~2.89~3.96
31~Pollo asado Hacendado~13706~Pizzas y platos preparados~Platos preparados calientes~6.55~6.8~3.82
32~Pimiento rojo y verde Hacendado ultracongelado~35221~Congelados~Verdura~1.06~1.1~3.77
33~Bebida de almendras zero Hacendado~23926~Huevos, leche y mantequilla~Leche y bebidas vegetales~1.4~1.45~3.57
34~Medallones preparado de solomillo cerdo provenzal~4152~Carne~Cerdo~3.51~3.63~3.42
35~Papel higiénico húmedo WC Bosque Verde~47291~Cuidado facial y corporal~Cuidado corporal~1.5~1.55~3.33
36~Spaghetti Hacendado~6331~Arroz, legumbres y pasta~Pasta y fideos~1.2~1.24~3.33
37~Maxi tortillas de trigo Hacendado~80870~Panadería y pastelería~Pan de molde y otras especialidades~1.55~1.6~3.23
38~Jamón serrano Incarlopsa lonchas~59124~Charcutería y quesos~Jamón serrano~3.49~3.58~2.58
39~Mantequilla con sal Hacendado~20727~Huevos, leche y mantequilla~Mantequilla y margarina~2.1~2.15~2.38
40~Queso Cheddar Hacendado lonchas~55017~Charcutería y quesos~Queso lonchas, rallado y en porciones~1.9~1.92~1.05
